ID,Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
54,13.54080492,7.844402601,17.68843429,13.00545849,28.30468467,16.39879144,36.97519188,27.18839328,189.0300262,109.5178853,246.933581,181.5786608,27501.47005,15930.91991,35924.09433,26413.17705,1255.103151,727.0945555,1639.516161,1205.521107,703.0622407,407.3187853,918.4240447,675.30561
55,5.083679002,1.217462751,10.34435341,4.413773875,13.56542222,3.012619447,18.13228034,8.399433967,16.1294814,3.586114085,33.29236454,9.938240668,8165.851644,1862.289189,18969.19121,5601.345875,524.2583563,117.4125659,1231.629746,325.6455998,1069.262621,227.082273,1739.37627,534.1322265
56,3.952117878,0.977520081,8.993387408,2.115364,10.33080759,2.65247521,17.3896164,6.99693743,13.71324612,3.387130734,31.06955838,7.385245109,8974.302038,2203.608228,20702.7718,4777.160976,523.0234054,128.1385057,1231.150973,274.9655046,772.9466611,193.355423,1616.483339,446.9759193
57,2.877625559,0.936335986,3.623837568,5.371016773,7.379762668,2.104914788,6.58000238,9.968182838,13.32370599,4.01291881,16.70443325,23.75274515,30695.3546,7256.624995,30207.71034,29627.56617,899.7228276,231.9216217,1017.110016,1257.484025,416.4275242,121.2899208,428.4619004,646.0971699
58,4.900423833,1.198627448,10.40950843,1.922301697,6.511175267,1.592634535,13.83079458,2.554225922,14.9477962,3.655598334,31.75944683,5.861787895,7357.200606,1801.143916,15608.34617,2891.017747,483.7444499,118.2444325,1028.54105,189.5163862,802.4572479,196.2051773,1705.49478,314.5531923
59,5.372300394,1.052630375,11.48452823,2.337577366,9.384214211,1.820383251,18.56399851,3.775646695,22.95709094,4.495631458,47.20886791,9.535229766,42638.17255,7685.783608,45000.686,11074.89228,1215.291286,228.0066184,1837.02197,417.6906634,970.6083328,190.7595255,2058.127263,424.6852078
60,1.081632867,1.94117612,22.14487561,45.29874609,0.905292667,1.78464406,22.13632776,42.77143395,3.187056357,5.172408555,94.37155181,174.5841773,12617.80388,31025.67711,147436.8107,362155.0632,242.7138398,462.3508771,6203.680308,11852.77912,18.94044486,35.71638723,488.2216027,943.5837428
61,3.319989782,12.84869179,257.2938574,28.26873119,0.545269026,2.216620935,32.73874939,4.415864478,2.115640842,7.970788189,115.7616883,16.20945461,14423.40928,55484.54149,1075035.075,120974.3417,217.2263567,820.3220676,13835.70949,1734.287751,11.46437233,46.26581871,676.6070557,92.11031989
62,0.528741281,0.339006522,9.82196584,4.106947044,0.734497095,0.427187443,14.17549554,4.570064819,6.505340824,4.596931732,112.0562378,61.34566171,6763.57606,4759.137627,118453.5281,62971.21501,345.9897605,252.4477046,5913.523194,3461.558886,17.98896106,12.0540852,320.4104227,152.7034399
63,10.90410931,8.560718955,7.087446235,74.48578126,5.267857301,3.974725368,3.518976462,32.13908424,52.70093529,40.97479225,34.43376082,353.2227755,32541.33184,25406.2938,21238.9684,217929.3242,3177.812494,2504.31332,2064.675263,21836.04964,119.7256547,89.17627283,80.30893422,705.8262797
64,9.313181566,4.701090097,6.949602785,11.20545277,5.416457632,2.706016448,4.075832812,6.432550815,45.61889507,22.98457214,34.12109429,54.74272125,27708.4041,14000.19936,20642.02215,33386.03567,2659.09603,1348.08125,1976.748208,3213.538304,116.3097758,58.35477907,87.65862785,137.1463649
